value	label
BXG	BXG
BXMT	BXMT
BXMX	BXMX
BXP	BXP
BXP-B	BXP-B
BXS	BXS
BXS-A	BXS-A
BY	BY
BYD	BYD
BYM	BYM
BZH	BZH
BZM	BZM
C	C
C-J	C-J
C-K	C-K
C-N	C-N
C-S	C-S
CAAP	CAAP
CABO	CABO
CACI	CACI
CADE	CADE
CAE	CAE
CAF	CAF
CAG	CAG
CAH	CAH
CAI	CAI
CAI-A	CAI-A
CAI-B	CAI-B
CAJ	CAJ
CAL	CAL
CALX	CALX
CANG	CANG
CAPL	CAPL
CARR	CARR
CARS	CARS
CAT	CAT
CATO	CATO
CB	CB
CBB	CBB
CBB-B	CBB-B
CBD	CBD
CBH	CBH
CBL	CBL
CBL-D	CBL-D
CBL-E	CBL-E
CBRE	CBRE
CBT	CBT
CBU	CBU
CBZ	CBZ
CC	CC
CCA.U	CCA.U
CCA.W	CCA.W
CCAC	CCAC
CCC	CCC
CCEP	CCEP
CCH	CCH
CCH.U	CCH.U
CCH.W	CCH.W
CCI	CCI
CCI-A	CCI-A
CCJ	CCJ
CCK	CCK
CCL	CCL
CCM	CCM
CCO	CCO
CCR	CCR
CCS	CCS
CCU	CCU
CCX	CCX
CCX.U	CCX.U
CCX.W	CCX.W
CCXX	CCXX
CCZ	CCZ
CDAY	CDAY
CDE	CDE
CDR	CDR
CDR-B	CDR-B
CDR-C	CDR-C
CE	CE
CEA	CEA
CEE	CEE
CEIX	CEIX
CEL	CEL
CEL.P	CEL.P
CELP	CELP
CEM	CEM
CEN	CEN
CEO	CEO
CEPU	CEPU
CEQ.P	CEQ.P
CEQP	CEQP
CF	CF
CFG	CFG
CFG-D	CFG-D
CFG-E	CFG-E
CFR	CFR
CFX	CFX
CFXA	CFXA
CGA	CGA
CGC	CGC
CHA	CHA
CHAP	CHAP
CHCT	CHCT
CHD	CHD
CHE	CHE
CHGG	CHGG
CHH	CHH
CHK	CHK
CHK-D	CHK-D
CHL	CHL
CHM-A	CHM-A
CHM-B	CHM-B
CHMI	CHMI
CHN	CHN
CHRA	CHRA
CHS	CHS
CHT	CHT
CHU	CHU
CHWY	CHWY
CHX	CHX
CHX.P	CHX.P
CI	CI
CIA	CIA
CIB	CIB
CIEN	CIEN
CIF	CIF
CIG	CIG
CIG.C	CIG.C
CII	CII
CIM	CIM
CIM-A	CIM-A
CIM-B	CIM-B
CIM-C	CIM-C
CIM-D	CIM-D
CINR	CINR
CIO	CIO
CIO-A	CIO-A
CIR	CIR
CIT	CIT
CIT-B	CIT-B
CKH	CKH
CL	CL
CLB	CLB
CLDR	CLDR
CLDT	CLDT
CLF	CLF
CLGX	CLGX
CLH	CLH
CLI	CLI
CLN-G	CLN-G
CLN-H	CLN-H
CLN-I	CLN-I
CLN-J	CLN-J
CLNC	CLNC
CLNY	CLNY
CLPR	CLPR
CLR	CLR
CLS	CLS
CLW	CLW
CLX	CLX
CM	CM
CMA	CMA
CMC	CMC
CMCM	CMCM
CMD	CMD
CMG	CMG
CMI	CMI
CMO	CMO
CMO-E	CMO-E
CMP	CMP
CMR-B	CMR-B
CMR-C	CMR-C
CMR-D	CMR-D
CMR-E	CMR-E
CMRE	CMRE
CMS	CMS
CMS-B	CMS-B
CMSA	CMSA
CMSC	CMSC
CMSD	CMSD
CMU	CMU
CNA	CNA
CNC	CNC
CNF	CNF
CNHI	CNHI
CNI	CNI
CNK	CNK
CNMD	CNMD
CNNE	CNNE
CNO	CNO
CNP	CNP
CNP-B	CNP-B
CNQ	CNQ
CNR	CNR
CNS	CNS
CNX	CNX
CNXM	CNXM
CO	CO
COD-A	COD-A
COD-B	COD-B
COD-C	COD-C
CODI	CODI
COE	COE
COF	COF
COF-F	COF-F
COF-G	COF-G
COF-H	COF-H
COF-I	COF-I
COF-J	COF-J
COG	COG
COLD	COLD
COO	COO
COP	COP
COR	COR
COR-Z	COR-Z
CORR	CORR
COTY	COTY
CP	CP
CPA	CPA
CPAC	CPAC
CPB	CPB
CPE	CPE
CPF	CPF
CPG	CPG
CPK	CPK
CPLG	CPLG
CPRI	CPRI
CPS	CPS
CPT	CPT
CR	CR
CRC	CRC
CRD.A	CRD.A
CRD.B	CRD.B
CRH	CRH
CRI	CRI
CRK	CRK
CRL	CRL
CRM	CRM
CRS	CRS
CRT	CRT
CRY	CRY
CS	CS
CSL	CSL
CSLT	CSLT
CSPR	CSPR
CSTM	CSTM
CSU	CSU
CSV	CSV
CTA-A	CTA-A
CTA-B	CTA-B
CTAA	CTAA
CTB	CTB
CTBB	CTBB
CTDD	CTDD
CTK	CTK
CTL	CTL
CTLT	CTLT
CTR	CTR
CTRA	CTRA
CTS	CTS
CTT	CTT
CTV	CTV
CTVA	CTVA
CTY	CTY
CTZ	CTZ
CUB	CUB
CUB-C	CUB-C
CUB-D	CUB-D
CUB-E	CUB-E
CUB-F	CUB-F
CUBB	CUBB
CUBE	CUBE
CUBI	CUBI
CUK	CUK
CULP	CULP
CURO	CURO
CUZ	CUZ
CVA	CVA
CVE	CVE
CVEO	CVEO
CVI	CVI
CVIA	CVIA
CVNA	CVNA
CVS	CVS
CVX	CVX
CW	CW
CWE.A	CWE.A
CWEN	CWEN
CWH	CWH
CWK	CWK
CWT	CWT
CX	CX
CXE	CXE
CXH	CXH
CXO	CXO
CXP	CXP
CXW	CXW
CYD	CYD
CYH	CYH
CZZ	CZZ
D	D
DAC	DAC
DAL	DAL
DAN	DAN
DAO	DAO
DAR	DAR
DAVA	DAVA
DB	DB
DBD	DBD
DBI	DBI
DBL	DBL
DCF	DCF
DCI	DCI
DCO	DCO
DCP	DCP
DCP-B	DCP-B
DCP-C	DCP-C
DCUE	DCUE
DD	DD
DDD	DDD
DDF	DDF
DDS	DDS
DDT	DDT
DE	DE
DEA	DEA
DECK	DECK
DEI	DEI
DELL	DELL
DEO	DEO
DESP	DESP
DEX	DEX
DFIN	DFIN
DFN.U	DFN.U
DFN.W	DFN.W
DFNS	DFNS
DFP	DFP
DFS	DFS
DG	DG
DGX	DGX
DHF	DHF
DHI	DHI
DHR	DHR
DHR-A	DHR-A
DHR-B	DHR-B
DHT	DHT
DHX	DHX
DIAX	DIAX
DIN	DIN
DIS	DIS
DK	DK
DKL	DKL
DKS	DKS
DL	DL
DLB	DLB
DLN-A	DLN-A
DLN-B	DLN-B
DLNG	DLNG
DLPH	DLPH
DLR	DLR
DLR-C	DLR-C
DLR-G	DLR-G
DLR-I	DLR-I
DLR-J	DLR-J
